Website,URL,Color,Category,Percent
 Ali Pay,https://www.alipay.com,#967A52,Financial,15%
 Ali Pay,https://www.alipay.com,#826D4E,Financial,12%
 Ali Pay,https://www.alipay.com,#755135,Financial,10%
 Ali Pay,https://www.alipay.com,#8C7E68,Financial,9%
 Ali Pay,https://www.alipay.com,#C29F70,Financial,8%
 Ali Pay,https://www.alipay.com,#B3956A,Financial,7%
 Ali Pay,https://www.alipay.com,#CAA97A,Financial,7%
 Ali Pay,https://www.alipay.com,#4C372B,Financial,7%
 Ali Pay,https://www.alipay.com,#D3AF77,Financial,7%
 Ali Pay,https://www.alipay.com,#A6C4D4,Financial,6%
 Ali Pay,https://www.alipay.com,#76ADC7,Financial,6%
 Ali Pay,https://www.alipay.com,#AE8E5C,Financial,6%
Apple,https://www.apple.com,#3E2E78,Shopping,16%
Apple,https://www.apple.com,#67A354,Shopping,14%
Apple,https://www.apple.com,#754F37,Shopping,10%
Apple,https://www.apple.com,#D54C2B,Shopping,10%
Apple,https://www.apple.com,#4A7430,Shopping,9%
Apple,https://www.apple.com,#549BA1,Shopping,7%
Apple,https://www.apple.com,#A06A4E,Shopping,6%
Apple,https://www.apple.com,#54639A,Shopping,6%
Apple,https://www.apple.com,#6597D5,Shopping,6%
Apple,https://www.apple.com,#F35E55,Shopping,6%
Apple,https://www.apple.com,#D09E52,Shopping,5%
Apple,https://www.apple.com,#9D3F9E,Shopping,5%
Baidu,http://www.baidu.com,#E20B0A,Shopping,19%
Baidu,http://www.baidu.com,#EA231E,Shopping,12%
Baidu,http://www.baidu.com,#F76033,Shopping,9%
Baidu,http://www.baidu.com,#FAA244,Shopping,9%
Baidu,http://www.baidu.com,#98534B,Shopping,8%
Baidu,http://www.baidu.com,#45EDD0,Shopping,7%
Baidu,http://www.baidu.com,#3056D3,Shopping,7%
Baidu,http://www.baidu.com,#4D5B9E,Shopping,7%
Baidu,http://www.baidu.com,#A4ADCE,Shopping,6%
Baidu,http://www.baidu.com,#CC4927,Shopping,6%
Baidu,http://www.baidu.com,#44A3CC,Shopping,5%
Baidu,http://www.baidu.com,#F3ACA0,Shopping,5%
Bank of America,https://www.bankofamerica.com,#C3122F,Financial,39%
